INFO | 2020-09-17 00:14:37,070 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-17 00:14:47,550 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-17 00:15:47,145 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-17 00:15:50,721 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 21:21:36,526 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-18 21:22:11,496 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-18 21:22:33,555 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-18 21:22:35,792 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-18 21:22:45,339 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-18 21:22:56,260 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-18 21:26:00,807 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-18 21:26:04,545 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 21:31:52,643 | main | device_scan | 6 network hosts discovered
INFO | 2020-09-18 21:32:27,424 | main | device_scan | Device scan 16.666666666666664% complete
INFO | 2020-09-18 21:32:54,652 | main | device_scan | Device scan 33.33333333333333% complete
INFO | 2020-09-18 21:33:04,138 | main | device_scan | Device scan 50.0% complete
INFO | 2020-09-18 21:33:14,922 | main | device_scan | Device scan 66.66666666666666% complete
INFO | 2020-09-18 21:34:32,574 | main | device_scan | Device scan 83.33333333333334% complete
INFO | 2020-09-18 21:34:36,377 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 21:48:25,914 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-18 21:49:00,854 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-18 21:49:25,159 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-18 21:49:27,325 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-18 21:49:36,855 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-18 21:49:47,486 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-18 21:50:20,427 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-18 21:50:24,066 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 22:00:47,321 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-18 22:01:23,459 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-18 22:01:47,150 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-18 22:01:52,478 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-18 22:02:06,001 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-18 22:02:16,696 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-18 22:03:53,214 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-18 22:03:57,054 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 22:23:44,521 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-18 22:24:19,443 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-18 22:24:43,942 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-18 22:24:49,249 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-18 22:25:02,826 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-18 22:25:13,640 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-18 22:25:40,323 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-18 22:25:44,257 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 22:49:08,186 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-18 22:49:43,032 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-18 22:50:06,575 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-18 22:50:08,784 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-18 22:50:18,355 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-18 22:50:29,015 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-18 22:52:16,949 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-18 22:52:20,594 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 22:56:42,444 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-18 22:57:17,023 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-18 22:57:36,863 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-18 22:57:41,332 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-18 22:57:50,834 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-18 22:58:01,377 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-18 22:59:18,682 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-18 22:59:22,517 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 23:00:18,809 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-18 23:00:53,461 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-18 23:01:15,379 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-18 23:01:20,622 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-18 23:01:30,123 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-18 23:01:41,110 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-18 23:02:43,773 | main | device_scan | Device scan 85.71428571428571% complete
INFO | 2020-09-18 23:02:47,437 | main | device_scan | Device scan 100.0% complete
INFO | 2020-09-18 23:04:08,248 | main | device_scan | 7 network hosts discovered
INFO | 2020-09-18 23:04:42,886 | main | device_scan | Device scan 14.285714285714285% complete
INFO | 2020-09-18 23:05:04,246 | main | device_scan | Device scan 28.57142857142857% complete
INFO | 2020-09-18 23:05:09,222 | main | device_scan | Device scan 42.857142857142854% complete
INFO | 2020-09-18 23:05:18,722 | main | device_scan | Device scan 57.14285714285714% complete
INFO | 2020-09-18 23:05:29,728 | main | device_scan | Device scan 71.42857142857143% complete
INFO | 2020-09-18 23:06:51,701 | main | device_scan | Device scan 85.71428571428571% complete
